date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Guiana,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,MS Zaandam,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Others,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,St. Martin,Sudan,Summer Olympics 2020,Suriname,Sweden,Switzerland,Syria,Taipei and environs,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,
2020-01-23,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,798.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,3.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-26,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-27,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,1428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-28,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,3496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,8.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,
2020-01-29,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,3846.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,8.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,
2020-01-30,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,5324.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,7.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,
2020-01-31,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,6291.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,11.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,,,
2020-02-01,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,11337.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,8.0,,,,,,,,,,,,,,,,13.0,,,1.0,,,,,,2.0,,,19.0,,,,,0.0,,,,,,,,,,,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,16.0,,,,,,12.0,,1.0,1.0,,,0.0,,1.0,,,,10.0,,,11.0,,,0.0,,,,,,4.0,2.0,8.0,,,,,,5.0,,,
2020-02-02,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,15783.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,10.0,,,,,,,,,,,,,,,,15.0,,,2.0,,,,,,2.0,,,19.0,,,,,0.0,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,18.0,,,,,,15.0,,1.0,1.0,,,0.0,,1.0,,,,10.0,,,10.0,,,0.0,,,,,,5.0,2.0,8.0,,,,,,5.0,,,
2020-02-03,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,18654.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,,,,,,15.0,,,3.0,,,,,,2.0,,,19.0,,,,,0.0,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,18.0,,,,,,15.0,,1.0,1.0,,,0.0,,1.0,,,,10.0,,,10.0,,,0.0,,,,,,5.0,2.0,11.0,,,,,,7.0,,,
2020-02-04,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,4.0,,,,,,,22347.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,,,,,,16.0,,,3.0,,,,,,2.0,,,21.0,,,,,0.0,,,,,,,,,,,,,,10.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,24.0,,,,,,16.0,,1.0,1.0,,,0.0,,1.0,,,,11.0,,,15.0,,,0.0,,,,,,5.0,2.0,11.0,,,,,,7.0,,,
2020-02-05,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,5.0,,,,,,,25732.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,,,,,,20.0,,,3.0,,,,,,2.0,,,21.0,,,,,0.0,,,,,,,,,,,,,,10.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,28.0,,,,,,19.0,,1.0,1.0,,,0.0,,1.0,,,,11.0,,,15.0,,,0.0,,,,,,5.0,2.0,12.0,,,,,,7.0,,,
2020-02-06,,,,,,,,,,12.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,5.0,,,,,,,28445.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,12.0,,,,,,,,,,,,,,,,23.0,,,3.0,,,,,,2.0,,,44.0,,,,,0.0,,,,,,,,,,,,,,9.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,28.0,,,,,,23.0,,1.0,1.0,,,0.0,,1.0,,,,15.0,,,15.0,,,0.0,,,,,,5.0,2.0,12.0,,,,,,9.0,,,
